"1";"2009";"C1-09";"AB013";"INTENDENCIA REGIÓN DE LOS LAGOS";" ";"19-05-2009";"56";"GOBERNACIÓN PROVINCIAL DE SANTIAGO";"1";"Amparo";"20-04-2009";"20-04-2009";"13";"Envío de notificación a intervinientes";" "
"2";"2009";"C2-09";"AE004";"DIRECCIÓN NACIONAL DEL SERVICIO CIVIL";" ";"27-04-2009";"2";"CPLT - Morandé";"1";"Amparo";"28-01-2009";" ";"3";"Declaración de inadmisibilidad del caso";" "
"3";"2009";"C3-09";"AJ010";"JUNTA NACIONAL DE JARDINES INFANTILES (JUNJI)";" ";"05-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"07-05-2007";"15-05-2007";"3";"Declaración de inadmisibilidad del caso";" "
"4";"2009";"C4-09";"EP007";"EMPRESA DE FERROCARRILES DEL ESTADO (EFE)";" ";"07-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"20-04-2009";"06-05-2009";"13";"Envío de notificación a intervinientes";" "
"5";"2009";"C5-09";" ";"N/A";" ";"07-05-2009";"56";"GOBERNACIÓN PROVINCIAL DE SANTIAGO";"1";"Amparo";" ";" ";"3";"Declaración de inadmisibilidad del caso";" "
"6";"2009";"C6-09";"MU332";"MUNICIPALIDAD DE VALPARAÍSO";" ";"11-05-2009";"56";"GOBERNACIÓN PROVINCIAL DE SANTIAGO";"1";"Amparo";"16-04-2009";"06-05-2009";"3";"Declaración de inadmisibilidad del caso";" "
"7";"2009";"C7-09";"MU222";"MUNICIPALIDAD DE PITRUFQUÉN";" ";"14-05-2009";"56";"GOBERNACIÓN PROVINCIAL DE SANTIAGO";"1";"Amparo";"23-04-2009";"29-04-2009";"13";"Envío de notificación a intervinientes";" "
"8";"2009";"C8-09";"AE011";"DIRECCIÓN DE COMPRAS Y CONTRATACIÓN PÚBLICA (CHILECOMPRAS)";" ";"14-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"19-02-2009";"24-04-2009";"13";"Envío de notificación a intervinientes";" "
"9";"2009";"C9-09";"AN002";"SUBSECRETARÍA DE TELECOMUNICACIONES";" ";"15-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"03-04-2009";"20-04-2009";"3";"Declaración de inadmisibilidad del caso";" "
"10";"2009";"C10-09";"AP000";"MINISTERIO DE VIVIENDA Y URBANISMO";" ";"18-05-2009";"2";"CPLT - Morandé";"1";"Amparo";" ";"13-05-2009";"13";"Envío de notificación a intervinientes";" "
"11";"2009";"C11-09";"AF000";"MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA";" ";"19-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"20-04-2009";"18-05-2009";"13";"Envío de notificación a intervinientes";" "
"12";"2009";"C12-09";" ";"COMISIÓN NACIONAL DEL MEDIO AMBIENTE REGIÓN METROPOLITANA DE SANTIAGO";" ";"19-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"09-03-2009";"19-05-2009";"13";"Envío de notificación a intervinientes";" "
"13";"2009";"C13-09";" ";"TRIBUNAL DE FAMILIA DE PUNTA ARENAS";" ";"22-05-2009";"56";"GOBERNACIÓN PROVINCIAL DE SANTIAGO";"1";"Amparo";"07-04-2009";"29-04-2009";"7";"Respuesta del órgano requerido";" "
"14";"2009";"C14-09";"AL005";"INSTITUTO DE PREVISIÓN SOCIAL (IPS)";" ";"20-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"04-03-2009";" ";"3";"Declaración de inadmisibilidad del caso";" "
"15";"2009";"C15-09";"MU062";"MUNICIPALIDAD DE CONCHALÍ";" ";"20-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"21-04-2009";" ";"7";"Respuesta del órgano requerido";" "
"16";"2009";"C16-09";"AR006";"SERVICIO AGRÍCOLA Y GANADERO (SAG)";" ";"20-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"20-04-2009";"18-05-2009";"13";"Envío de notificación a intervinientes";" "
"17";"2009";"C17-09";"AO010";"SERVICIO DE SALUD METROPOLITANO ORIENTE";" ";"20-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"24-04-2009";"07-05-2009";"9";"En acuerdo";" "
"18";"2009";"C18-09";" ";"DIRECCIÓN DEL TRABAJO REGIÓN DE VALPARAÍSO";" ";"22-05-2009";"56";"GOBERNACIÓN PROVINCIAL DE SANTIAGO";"1";"Amparo";"03-04-2009";"12-05-2009";"7";"Respuesta del órgano requerido";" "
"19";"2009";"C19-09";"AH007";"INSTITUTO NACIONAL DE ESTADÍSTICAS (INE)";" ";"25-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"30-04-2009";"07-05-2009";"7";"Respuesta del órgano requerido";" "
"20";"2009";"C20-09";"AR000";"MINISTERIO DE AGRICULTURA";" ";"26-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"21-04-2009";"18-05-2009";"13";"Envío de notificación a intervinientes";" "
"21";"2009";"C21-09";"AB000";"MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA";" ";"26-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"18-05-2009";"20-05-2009";"13";"Envío de notificación a intervinientes";" "
"22";"2009";"C22-09";"AH000";"MINISTERIO DE ECONOMIA, FOMENTO Y TURISMO";" ";"26-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"21-04-2009";"20-05-2009";"13";"Envío de notificación a intervinientes";" "
"23";"2009";"C23-09";"AE000";"MINISTERIO DE HACIENDA";" ";"26-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"20-04-2009";"19-05-2009";"13";"Envío de notificación a intervinientes";" "
"24";"2009";"C24-09";"AS000";"MINISTERIO DE MINERÍA";" ";"26-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"20-04-2009";"19-05-2009";"13";"Envío de notificación a intervinientes";" "
"25";"2009";"C25-09";"AQ000";"MINISTERIO DE BIENES NACIONALES";" ";"26-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"20-04-2009";"18-05-2009";"13";"Envío de notificación a intervinientes";" "
"26";"2009";"C26-09";"AK000";"MINISTERIO DE JUSTICIA";" ";"26-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"21-04-2009";"20-05-2009";"13";"Envío de notificación a intervinientes";" "
"27";"2009";"C27-09";"AV001";"CONSEJO NACIONAL DE LA CULTURA Y LAS ARTES (CNCA)";" ";"26-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"21-04-2009";"19-05-2009";"13";"Envío de notificación a intervinientes";" "
"28";"2009";"C28-09";"MU308";"MUNICIPALIDAD DE SANTIAGO";" ";"26-05-2009";"2";"CPLT - Morandé";"1";"Amparo";"07-05-2009";"20-05-2009";"13";"Envío de notificación a intervinientes";" "
